,t,RoadType,ObservedCount,Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Month_12,VehicleClass_Heavy,VehicleClass_Medium,VehicleClass_Light,FuelType_Diesel,FuelType_Unknown,FuelType_Gasoline,FuelType_Flexible,Vocation_LongHaul,Vocation_Regional,Vocation_Local,Vocation_HubAndSpoke,Vocation_DoorToDoor,NAICS_code_48,NAICS_code_44,NAICS_code_49,NAICS_code_42,NAICS_code_81,NAICS_code_23,NAICS_code_54,NAICS_code_56,NAICS_code_53,NAICS_code_31,NAICS_code_33,NAICS_code_45,NAICS_code_22,NAICS_code_92
0,0,motorway,2813.6,196.9,172.4,250.8,218.4,242.5,247.2,212.1,244.7,225.6,266.7,262.1,258.4,2237.4,328.6,204.3,2230.5,340.9,196.3,28.4,1001.7,714.1,413.9,180.2,8.5,1561.6,152.1,201.2,201.6,101.3,67.5,66.8,101.4,45.7,154.2,33.4,11.8,1.9,1.1
1,0,primary,157.2,11.7,9.8,13.4,12.2,14.2,15.0,12.9,14.9,13.3,14.3,12.7,12.3,97.1,29.6,27.4,99.0,28.8,24.7,4.2,25.9,39.2,48.7,17.3,1.7,74.7,8.6,7.8,10.0,5.2,7.8,5.2,12.7,1.4,3.9,6.3,1.3,0.6,1.0
2,0,trunk,259.5,19.4,17.3,24.2,21.1,22.4,22.3,20.4,25.0,21.6,22.8,21.7,21.3,170.6,44.8,40.8,170.0,43.3,38.9,7.2,40.2,65.1,82.3,19.4,3.3,117.2,18.7,9.2,14.8,12.0,14.5,9.7,15.5,2.9,18.7,4.5,4.1,1.3,1.7
3,1,motorway,2693.5,179.8,162.4,241.2,211.8,232.9,242.0,210.4,238.5,223.7,246.5,249.9,245.3,2175.2,324.6,157.5,2138.7,370.7,149.2,24.1,961.3,723.0,372.7,162.1,7.1,1546.3,156.0,183.5,197.8,93.2,68.2,69.8,95.3,39.2,108.3,19.9,11.4,1.5,0.9
4,1,primary,150.7,11.2,10.2,13.5,11.9,14.6,14.1,12.0,14.1,11.8,13.1,11.7,11.4,101.6,27.3,18.4,96.6,32.7,16.7,3.0,24.9,38.6,45.9,14.1,1.6,77.6,7.3,5.5,10.0,5.8,7.5,5.1,12.8,2.0,3.6,1.8,0.9,0.4,0.7
5,1,trunk,235.4,17.7,17.4,21.7,20.1,19.7,21.1,19.4,21.1,19.3,20.6,18.4,18.6,158.5,42.1,30.6,154.8,44.4,29.6,6.5,36.8,62.5,70.5,19.4,2.5,111.1,14.2,7.8,12.7,10.9,12.5,8.9,17.5,3.5,13.4,2.4,3.0,0.7,1.6
6,2,motorway,2824.9,201.8,183.0,248.8,217.4,234.7,240.2,211.0,254.1,241.1,263.0,262.0,257.0,2301.2,334.3,153.3,2212.2,421.7,147.5,24.0,989.2,793.5,381.9,182.3,12.0,1649.9,151.4,161.6,222.4,89.8,86.7,72.5,94.2,48.5,94.9,20.4,14.5,1.6,2.0
7,2,primary,160.6,12.7,11.3,14.5,12.8,14.0,13.4,12.0,14.6,13.9,14.8,13.0,12.6,111.8,29.4,16.3,103.5,36.8,14.9,2.6,24.1,40.4,51.4,16.5,2.0,74.3,7.1,5.9,15.6,4.0,7.7,5.2,15.5,2.6,7.0,1.3,1.0,0.4,0.4
8,2,trunk,259.1,19.5,18.0,23.9,20.3,22.7,21.8,21.8,24.3,21.7,23.1,21.3,20.4,176.0,50.0,29.0,169.9,57.2,27.0,4.8,40.8,60.0,90.7,26.6,2.0,114.5,11.8,8.1,21.9,12.2,15.1,10.0,19.8,3.6,21.5,2.8,1.9,0.6,1.6
9,3,motorway,3587.3,248.4,236.0,317.7,278.7,304.4,302.7,270.0,325.2,303.9,334.3,332.6,319.9,2875.0,428.8,227.1,2763.7,533.9,215.8,32.7,1162.4,1029.6,528.0,278.9,23.3,1922.4,188.1,188.6,385.0,99.0,111.7,96.1,158.4,85.2,138.8,33.9,22.5,4.3,0.9
